mod_name,owner,rating_score,github_url
r2modman,ebkr,1253,https://github.com/ebkr/r2modmanPlus
BepInExPack,BepInEx,881,https://github.com/BepInEx/BepInEx
GaleModManager,Kesomannen,178,https://github.com/Kesomannen/gale
Line_Tool_Lite,algernon,53,https://github.com/algernon-A/LineToolLite
Traffic_Lights_Enhancement_Alpha,slyh,48,https://github.com/slyh/Cities2-TrafficLightsEnhancement
Extended_Road_Upgrades,STApps,41,https://github.com/ST-Apps/CS2-ExtendedRoadUpgrades
ExtendedTooltip,Cities2Modding,41,https://github.com/89pleasure/cities2-extended-tooltip
Anarchy,yenyang,40,https://github.com/yenyang/Anarchy-BepInEx
LegacyFlavour,Cities2Modding,37,https://github.com/Cities2Modding/LegacyFlavour
FirstPersonCamera,Cities2Modding,33,https://github.com/Cities2Modding/FirstPersonCamera
ExtraLandscapingTools,TritonSupreme,33,https://github.com/AlphaGaming7780/ExtraLandscapingTools
529TilesLite,algernon,31,https://github.com/algernon-A/FiveTwentyNineTilesLite
Tree_Controller,yenyang,28,https://github.com/yenyang/Tree_Controller_BepInEx
Cities2Mods_ServiceVehicleAI,CityPlayer,27,
Unified_Icon_Library,algernon,23,https://github.com/algernon-A/UnifiedIconLibraryLite
HookUI,CaptainOfCoit,23,https://github.com/Captain-Of-Coit/hookui
UnlockAllTiles,Wayzware,22,https://github.com/Wayzware/UnlockAllTilesMod
Magnolia_County,CityPlannerPlays,22,
SchoolCapacityBalancer,Wayzware,21,https://github.com/Wayzware/EducationBalancer
HistoricalStart,algernon,21,https://github.com/algernon-A/HistoricalStartLite
Cities2Mods_RenterAndLandValuePolicy_,CityPlayer,20,
CityMonitor,CaptainOfCoit,19,
RealisticDensity,Cities2Modding,18,https://github.com/89pleasure/cities2-realistic-density
LandValueOverhaul,Jimmyok,17,https://github.com/Jimmyokok/LandValueOverhaul
Water_Features,yenyang,16,https://github.com/yenyang/Water_Features_BepInEx
Cities2Mods_CityPlayerTrafficCustomMod,CityPlayer,16,
ExtendedRadio,TritonSupreme,16,https://github.com/AlphaGaming7780/ExtendedRadio
FindStuff,Cities2Modding,15,https://github.com/Cities2Modding/FindStuff
Population_Rebalance,Infixo,14,https://github.com/Infixo/CS2-RealPop
NoUniqueBuildings,Cities2Modding,14,https://github.com/89pleasure/cities2-no-unique-buildings
Info_Loom,Infixo,13,https://github.com/Infixo/CS2-InfoLoom
PloppableRICO,Lemmy,13,
LuckBasedRNG,GeckVolantMarin,12,
Better_Bulldozer,yenyang,12,https://github.com/yenyang/Better_Bulldozer
SpeedLimit,SwiftCobra,12,https://github.com/SwiftCobra/SpeedLimitMod
CimBehaviorImprovements,Cities2Modding,12,https://github.com/Cities2Modding/CimBehaviorImprovements
UnemploymentMonitor,Cities2Modding,12,https://github.com/Cities2Modding/UnemploymentMonitor
FreeRangeCameraLite,algernon,11,https://github.com/algernon-A/FreeRangeCameraLite
ExtendedHotkeys,Cities2Modding,11,https://github.com/89pleasure/cities2-extended-hotkeys
MapInstaller,Cities2Modding,10,https://github.com/Cities2Modding/MapInstaller
AbandonedBuildingRemover,Wayzware,10,https://github.com/Wayzware/AbandonedBuildingRemover
DucksInARow,Cities2Modding,10,https://github.com/Cities2Modding/DucksInARow
BetterPedestrianPathfind,Orcas,10,https://github.com/thardie/Cities2-Mods
ELT_SurfaceExtension,TritonSupreme,10,https://github.com/AlphaGaming7780/ELT-Surfaces
MOOB,Cities2Modding,10,https://github.com/Cities2Modding/MOOB
OnlyAdultTrees,Cities2Modding,10,https://github.com/Cities2Modding/OnlyAdultTrees
80s_Throwback_Radio,CityRat,9,
60s_Throwback_Radio,CityRat,9,
Infinite_Demand_Mod,johnytoxic,9,https://github.com/johnytoxic/CSL2DemandControl
Kexford,Jaxrud,9,
HookUI,Cities2Modding,9,https://github.com/Captain-Of-Coit/hookui
Cim_Behavior_Improvements,DerangedTeddy,9,https://github.com/Derangedteddy/CimBehaviorImprovements
CityRatNetwork_EDM,CityRat,8,
90s_Throwback_Radio,CityRat,8,
70s_Throwback_Radio,CityRat,8,
Whiteshark_Cheat_Overhaul,Whiteshark,8,https://github.com/whiteshark-1975/CitiesSkyline2-CheatOverhaul
Gooee,Cities2Modding,8,https://github.com/Cities2Modding/Gooee
Map_Texture_Replacer,Cgameworld,8,https://github.com/Cgameworld/MapTextureReplacer
EconomyFixer,TDW,7,
2010s_Throwback_Radio,CityRat,7,
Cali_Coast,Ausiguy,7,
MapImageLayer,Cities2Modding,7,https://github.com/Cities2Modding/MapImageLayer
ImageOverlayLite,algernon,7,https://github.com/algernon-A/ImageOverlayLite
UltimateMonitor,Cities2Modding,7,https://github.com/Cities2Modding/UltimateMonitor
RoadWearRemover,Cgameworld,7,https://github.com/Cgameworld/RoadWearRemover
Economy_Rebalance,Infixo,6,https://github.com/Infixo/CS2-RealEco
TransportPolicyAdjuster,SonnyX,6,https://github.com/SonnyX/CS2-TransportPolicyAdjuster
ExtractAnywhere,Pixelnaut,6,https://github.com/T3nak/cities-skylines-2-extract-anywhere
CityRatNetwork_HipHop,CityRat,6,
CityRatNetwork_Country,CityRat,6,
CityRatNetwork_AltRock,CityRat,6,
Allegheny_Ridges,CensoredLOL,6,
Magical_Hearse,Wayzware,6,https://github.com/Wayzware/MagicalHearse
MasterPlannedRadio_YoungLinden,profesorabbott,6,
StaticTransportViews,WheezyDaStarfish,6,https://github.com/wheezydastarfish/staticTransportViews
ExtraUIScreens,Klyte45,6,
Signature_Fix,Infixo,5,https://github.com/Infixo/CS2-SignatureFix
Lake_Onoke_NZ,RaftermanNZ,5,
TweakUI,Cities2Modding,5,https://github.com/Cities2Modding/TweakUI
NewDollarton,TWODOLLARSTWENTY,5,
2000s_Throwback_Radio,CityRat,5,
Chicago_Illinois,Scheballs,5,
MasterPlannedRadio_Northwoods,profesorabbott,5,
Fredericton_New_Brunswick,Scheballs,5,
CityGoldRadio,Starrywonder,5,https://github.com/AlphaGaming7780/ExtendedRadio
PlayerMoneyController,Mbyron26,5,https://github.com/Mbyron26/PlayerMoneyController
Wanaka_NZ,RaftermanNZ,5,
ColorAdjustments,Nyoko,5,https://github.com/NyokoDev/ColorAdjustments
Preserve_Photo_Mode,Nyoko,5,https://github.com/NyokoDev/PhotoModePreserve
DevPlaygroundOptions,Cities2Modding,5,https://github.com/89pleasure/cities2-dev-playground-options
Boston_Modern,mrdo919,4,
SunSet_Beach,therealchair,4,
Meridian_Gateway,TheOcter,4,
CinematicRendererMod,Lemmy,4,https://github.com/lemmy101/Skylines2_CinematicRendererMod
City_of_Detroit_1to1_Scale,breatec_actuit,4,
CityRatNetwork_Pop,CityRat,4,
ThrowBack_Network_Radio_ModPack,CityRat,4,
NorthHarbour,ashleytayles,4,
Midwest_Plains,BakedAir,4,
KexfordTemperate,Jaxrud,4,
Dolphin_Bay,42dolphins,4,
AlphaDLSSEnabler,CaptainOfCoit,4,
CompanyProfitFix,Cities2Modding,4,https://github.com/cities2modding/cities2-company-profit-fix
eurovibes,ben84,4,https://github.com/AlphaGaming7780/ExtendedRadio
DiamondCityRadio,TritonSupreme,4,https://github.com/AlphaGaming7780/ExtendedRadio
STCC_ShortTermCompatibilityChecker,Nyoko,4,https://github.com/NyokoDev/STCC
ThrowBackNetwork,CityRat,4,
ExtendedTransportManager,Klyte45,4,
Unemployment_Monitor,DerangedTeddy,4,https://github.com/Derangedteddy/UnemploymentMonitor
Highway_Name_Remover,Konsi,3,https://github.com/kosch104/CS2-HighwayNameRemover
Pacific_Bay,DanielNotFound,3,
TrafficReductionRemover,tduck973564,3,https://github.com/tduck973564/trafficreductionremover
Spring_Valley,therealchair,3,
Boston_AD_1630,AncientSwan,3,
BleatersBay,ChubbyPanda,3,
GlacialCoast,MellyVee,3,
Western_valley,therealchair,3,
Master_Planned_Music_ModPack,CityRat,3,
Kop_van_North_Holland,Torbi,3,
LostValley,Asideis,3,
CityRat_Network_Radio_ModPack,CityRat,3,
Flatonia,majuen_mods,3,
drknowsalot_EDM_Radio,drknowsalot,3,https://github.com/drknowsalot/cs2-edm-radio
VictoriaBay,KCPunk,3,
Riverside_Ilands,Artakwa,3,
Jacksonville_FL,JacksonvilleMan,3,
CustomVehiclePathfind,Jimmyok,3,https://github.com/Jimmyokok/CustomVehiclePathfind
Steam_Privacy,johnytoxic,3,https://github.com/johnytoxic/CSL2RichPresencePrivacy
VehicleCounter,CaptainOfCoit,3,
Home_Of_Chameleon,Cgameworld,3,https://github.com/Cgameworld/MapTextureReplacer
Brush_Size_Unlimiter,Cgameworld,3,https://github.com/Cgameworld/BrushSizeUnlimiter
Coastal_Island,ApoNono,3,
Storage_Fix,Infixo,3,https://github.com/Infixo/CS2-StorageFix
AddressesCS2,Klyte45,3,
Land_Value_Heatmap,Infixo,2,https://github.com/Infixo/CS2-LandValueHeatmap
caz_brecker_theme,cazbrecker,2,
Cape_Kelvin,RiRiPlaysCities,2,
Canberra_Australia,DamoPlays,2,
Draconia,Octopolis,2,https://github.com/thunderstore-io
Wilmington_Delaware,BlvnkoStreams,2,
GeoCitiesMayanVibesV2,XspiredDesigns,2,
CitiPak,Nebulation,2,
moselland,Hirschbert,2,
Bloomington,winterxo,2,
RentControl,Jimmyok,2,https://github.com/Jimmyokok/RentControl
TreeWindController,donutmonger,2,https://github.com/donutmonger/TreeWindController
I18nCN,MioMods,2,https://github.com/thx114/mio-i18-cn
MioHotkeyMod,MioMods,2,https://github.com/thx114/mio-hotkey-mod
Cape_Coral_Florida,TTHW_Gaming,2,
Thunder_River_Map,nokayes,2,
Los_Santos_GTAV,AncientSwan,2,
Windy_Coast,Andreas,2,
Cape_of_Merchants,Asideis,2,
TheThreeSisters,Asideis,2,
GreatFlatlands,Steallays,2,https://github.com/thunderstore-io
Island,Andreas,2,
UltimateOneTileIsland,toolify,2,https://github.com/ToolifyStudios/OneTileIslandMapCS2/
Flatland,toolify,2,https://github.com/ToolifyStudios/flatland/
Roanoke,AncientSwan,2,
Oslo,FunTeam,2,
UnlimitedElevatedRoad,Jimmyok,2,https://github.com/Jimmyokok/UnlimitedElevatedRoad
Desert_Map_Theme,Cgameworld,2,https://github.com/Cgameworld/MapTextureReplacer
RealisticPopulation,WG,2,https://github.com/WhitefangGreytail/CS2_RealisticPopulation
Parody_Radio_Vol_4,Merlinium,2,https://github.com/thunderstore-io
